SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
RUD-SH,RUDBECKIA,,Sahara,Bloom colors range from cream to ,rose to burgundy. Lovely cuts.,,Flower,Sow: in flats 8-10 weeks before last frost,Transplant out after danger of frost,Planting Depth: Cover lightly (needs light),Days to Germ: 7-16 @ Soil Temp: 65-75F,Spacing after Thinning: 12-18”. 2-3’ plants.,Light: full sun. Drought/heat/frost/tolerant.,Notes: deadhead to increase blooms,100-120 Days,Rudbeckia hirta,
SAL-TH,SALVIA,,Texas Hummingbird Sage,2-3’ spikes of scarlet red flowers attractive ,to hummingbirds. Superb insect/nectar plant!,,Flower,Sow: after last frost or transplant,Direct seed or transplant 6-8 wk starts,Planting Depth: surface,Days to Germinate: 10-15 @ Soil Temp: 65-75F,Spacing after Thinning: 1-1.5’,Light: full sun,Notes: attracts hummingbirds. Long blooming.,75 Days,Salvia sp. ,
SAL-TV,SALVIA,,Transylvanian Sage,Scented rosettes of vibrant foliage yield ,"to lasting, deep violet flower spikes. To 3’.",,Flower,Sow: direct/transplant after last frost ,Direct seed or transplant 6-8 wk starts,Planting depth: surface,Days to germinate: 10-15 @ Soil temp: 65-75F,Spacing after thinning: 1-1.5’,Light: full sun,Notes: attracts hummingbirds. Long blooming.,Perennial,Salvia sp. ,
SAL-WS,SALVIA,,White Swan,"Graceful, long stemmed, green veined white ",bracts to add an elegant vertical element!,,Flower,Sow: 6-10 wks before last frost,Transplant out after danger of frost,Planting depth: ¼”,Days to germinate: 12-18 @ Soil temp: 70-80F,Spacing after thinning: 8-12” (18-24” plants),Light: part sun,Notes: recommend transplanting,94 Days,Salvia viridis,
SCA-BK,SCABIOSA,,Black Knight,"Dramatic maroon blooms on strong stems, ",a mild sweet smell and long flowering period.,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,90 Days,Scabiosa sp.,
SCA-FB,SCABIOSA,,Fama Deep Blue,Dramatic 3-4” lilac to deep blue flowers ,on long stems. Long blooming 3-5’ plant.,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,Perennial,Scabiosa caucasica,
SCA-FM,SCABIOSA,,Fata Morgana,Gorgeous cream to blushed salmon flowers.,Honeyed scent attracts pollinators!,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,90-100 Days,Scabiosa atropurpurea,
SCA-GY,SCABIOSA,,Giant Yellow,Pale yellow pincushions on towering 8’ ,plants w/long stems. Flowers 2nd year.,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,Perennial,Scabiosa sp.,
SCA-SB,SCABIOSA,,Salmon Queen,Gorgeous shades of deep pink to salmon ,blooms w/honeyed scent to attract pollinators!,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,85-100 Days,Scabiosa sp.,
SCA-SM,SCABIOSA,,Snow Maiden,"Prolific, classic pincushion white blooms. ",Elegant cut flower w/long wiry stems.,,Flower,Sow: 4-6 wks before last frost,Transplant/direct seed after last frost ,Planting depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after thinning: 8-12”,Light: full sun,Be patient. Can be a tricky germinator!,90-100 Days,Scabiosa atropurpurea,
SCA-SK,SCABIOSA,,Sternkugel,"Subtle dusty blue blooms yield to stunning, ",spherical seedheads of 5 pointed stars! 2.5’.,,Flower,Sow: 4-6 wks before last frost,Transplant out or direct seed after last frost ,Planting Depth: lightly cover,Days to Germinate: 10-12 @ Soil Temp: 65-70F,Spacing after Thinning: 8-12”,Light: full sun,Be patient. This can be a tricky germinator!,95 Days,Scabiosa sp.,
POP-MP,"POPPY, SHIRLEY",SHIRLEY POPPY,Mother of Pearl,Subtle & elegant mix of antique,colors w/dazzling pollen.,,Flower,Sow: late fall or early spring,Direct seeding recommended ,Planting Depth: ¼-½”,Days to Germ: 7-18 @ Soil Temp: 50-60F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: drought tolerant,55-65 Days,Papaver sp.,
STR-AP,STRAWFLOWER,,Apricot Peach Mix,"A sunset mix of long-blooming peach,","yellow, orange, pink & red. ",,Flower,Sow: 6-8 wks before last frost,Transplant out after danger of frost ,Planting Depth: lightly covered,Days to Germ: 7-10 @ Soil Temp: 70-75F,Spacing: 12”,Light: full sun,Light aids germ. Fresh/dried flower.,75-80 Days,Xerochrysum bracteatum,
STR-MF,STRAWFLOWER,,Monstrosum Fireball,Long-lasting scarlet red blooms ,to set your garden on fire.,,Flower,Sow: 6-8 wks before last frost,Transplant out after danger of frost ,Planting Depth: lightly covered,Days to Germ: 7-10 @ Soil Temp: 70-75F,Spacing: 12”,Light: full sun,Light aids germ. Fresh/dried flower.,75-85 Days,Xerochrysum bracteatum,
STR-SR,STRAWFLOWER,,Silvery Rose,Pink tipped white blooms deepen to pink ,as they mature. Always charming/versatile.,,Flower,Sow: 6-8 wks before last frost,Transplant out after danger of frost ,Planting depth: cover lightly,Days to germinate: 7-10 @ Soil temp: 70-75F,Spacing: 12”,Light: full sun,Light aids germ. Fresh/dried flower.,75-80 Days,Xerochrysum bracteatum,
SUN-GA,SUNFLOWER,,Garden Anarchy Mix,"Stunning/unpredictable array of colors,"," shapes, & sizes. Expect to be delighted!!",,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germ: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 8-12”,Light: full sun,Notes: enjoy!!,80-100 Days,Helianthus annuus,
SUN-GS,SUNFLOWER,,Giant Sungold,All you’ve been dreaming of! Teddy ,bear type w/many long-lasting blooms.,,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germ: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 8-12”,Light: full sun,Notes: grows to 7'. Enjoy!!,93-110 Days,Helianthus annuus,
SUN-RE,SUNFLOWER,,Reds,"Diverse pop. of multi-headed, deep ","red blooms, some with yellow halos. ",,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germ: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 8-12”,Light: full sun,Notes: grows to 5-6'. Enjoy!!,85-90 Days,Helianthus annuus,
SUN-SO,SUNFLOWER,,Soraya,Award winning golden flowers w/sturdy ,upright stems & tons of blooms.,,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germ: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 8-12”,Light: full sun,Notes: grows to 6'. Enjoy!!,85 Days,Helianthus annuus,
SUN-TA,SUNFLOWER,,Tarahumara,Huge 7-10” single yellow bloom ,w/unique fuzzy green centers. ,,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germ: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 8-12”,Light: full sun,"White, high yielding edible seeds",90 Days,Helianthus annuus,
SUN-TG,SUNFLOWER,,Transylvanian Giant,Towering over like the Carpathian Mts. ,12-15’ tall w/broad yellow heads.,,Flower,Sow: after last frost,Direct seed or transplant 4 wk plants,Planting depth: ½- 1”,Days to germinate: 7-14 @ Soil temp: 70-75F,Spacing after thinning: 8-12”,Light: full sun,Notes: enjoy!!,100 Days,Helianthus annuus,
SUN-TO,"SUNFLOWER, MEXICAN",MEXICAN SUNFLOWER,Torch,"Flaming orange flowers on fuzzy, branching ",stems to 7’. Long blooming elegant beauties!,,Flower,Sow: after last frost,Direct seed or Transplant 4 wk plants,Planting Depth: ½- 1”,Days to Germinate: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 12-16”,Light: full sun,"Notes: drought tolerant, multi-branching ",90-100 Days,Tithonia rotundifolia,
SWP-AP,SWEET PEA,,April in Paris,"Elegant, gently frilled creamy white flowers ",w/purple fringe. Intoxicating scent. 5-6’ tall.,,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part shade,Notes: nick seed coat prior to sowing,85 Days,Lathyrus odoratus,
VET-AZ,SWEET PEA,SWEET PEA SPECIES,Azureus,"Exquisite ocean blue, unscented flowers on ",drought tolerant vines. Incredible N fixer.,,Flower,Sow: early spring,Direct seeding recommended ,Planting Depth: 1-2”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun,Notes: Electric blue. Drought tolerant.,60-75 Days,Lathyrus odoratus,
SWP-BR,SWEET PEA,,Bristol,"Large blooms, long stems, lingering scent & ",watercolor blues of a summer sky.,,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-FN,SWEET PEA,,Flora Norton,Elegant & subtle grandiflora w/delicate sky ,blue blooms & an intoxicating fragrance.,,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75 Days,Lathyrus odoratus,
SWP-HS,SWEET PEA,,Heaven Scent,Spencer type with delicate salmon/pink ,blooms on sturdy vines. Rose-like scent.,,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75 Days,Lathyrus odoratus,
SWP-JJ,SWEET PEA,,Just Jenny,"Endless blooms in the darkest purple, long"," stemmed, & deeply scented. Exceptional!",,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-KF,SWEET PEA,,Kingfisher,"Flawless, inexhaustible whitewashed violet ",blooms w/deeply pleasing fragrance.,,Flower,Sow: early spring,Sow indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-LC,SWEET PEA,SWEET PEA SPECIES,Lathyrus Chloranthus,"Curling tendrils, lush foliage & brilliant ",lime green flowers. Unscented perfection.,,Flower,Sow: early spring,Direct seeding recommended ,Planting Depth: 1-2”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus chloranthus,
SWP-LB,SWEET PEA,,Lunar Blue,Nearly white flowers fade to iridescent ,shades of tropical blue with divine scent!,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75 Days,Lathyrus odoratus,
SWP-MW,SWEET PEA,,Miss Wilmott,"Deep pink w/hints of salmon & orange, this ",classic has an aroma that matches its beauty!,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75 Days,Lathyrus odoratus,
SWP-MR,SWEET PEA,,Mollie Rilstone,Long stems bearing fragrant creamy flowers ,"w/pink picotee fringe, popular for cutting.",,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-NI,SWEET PEA,,Nimbus,Stormy dark violet spray over misty grey petals ,w/long stems perfect for cut flower use.,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-SZ,SWEET PEA,,Suzy Z,Deep maroon flake on dusky grey, with a lingering scent. Sensational!,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75-90 Days,Lathyrus odoratus,
SWP-TL,SWEET PEA,,Turquoise Lagoon,Fragrant pink/magenta blooms that shift & ,fade to a surreal tropical blue. Exquisite!,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,75 Days,Lathyrus odoratus,
SWP-WR,SWEET PEA,,Wiltshire Ripple,Richly scented blossoms boast elegant,burgundy flecking on snow white petals.,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
SWP-WN,SWEET PEA,,Windsor,"Large Spencer type w/dramatic, dark ",burgundy blooms! Strong vines & long stems.,,Flower,Sow: early spring,Sow: indoors in flats or direct seed,Planting Depth: 1”,Days to Germinate: 10-15 @ Soil Temp: 50-70F,Spacing after Thinning: 3-6”,Light: full sun to part Shade,Notes: Nick seed coat prior to sowing.,80 Days,Lathyrus odoratus,
ZIN-BE,ZINNIA,,Benary's Giant Mix,The vortex of this raucously gaudy palate ,will leave you breathless until heavy frost!,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-85 Days,Zinnia elegans,
ZIN-QR,ZINNIA,,Queen Red Lime,Dusty rose w/vibrant lime-green centers on ,long cutting stems. 3.5’of endless blooms!,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-85 Days,Zinnia elegans,
ZIN-SR,ZINNIA,,Salmon Rose,One of the more elegant & subdued of the ,Zinnia palate! A lovely bouquet addition.,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-80 Days,Zinnia elegans,
ZIN-ZL,ZINNIA,,Zinderella Lilac,"Soft lavender-pink w/dark centers on single, ",double & fully double scabiosa type blooms!,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-90 Days,Zinnia elegans,
ZIN-ZP,ZINNIA,,Zinderella Peach,"Cream, yellows & pinks on single, double & ",fully double scabiosa type blooms. Beauties!,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-90 Days,Zinnia elegans,
ZIN-OC,ZINNIA,,Oklahoma Carmine,"Petite, hot fuchsia doubled blooms.",Excellent for cuts.,,Flower,Sow: 4 weeks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 3-7 @ Soil Temp: 80-85F,Spacing after Thinning: 9-12”,Light: full sun/part shade,Deadhead to keep productive. Gentle w/roots!! ,75-80 Days,Zinnia elegans,
SMA-VM,"CABBAGE, WINTER",WINTER CABBAGE,Verza Moretta di Veronella,(B. oleracea) Regionally important violet-,tinged savoy cabbage of Italy’s Veneto. ,,Brassicas,Sow: late June,Direct sow or transplant 3-4 week starts,Planting Depth: ¼-½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18”,Light: full to partial sun,Notes: Very hardy. Harvest Dec-mid Feb.,100 Days,Brassica oleracea,
AST-TS,CHINA ASTER,,Tower Silver,Breathtaking & prolific bicolor white w/lilac ,tipped peony-type blooms. Long stems. 2.5-3’,,Flower,Sow: 6-8 wks before last frost,Transplant after danger of frost,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 70F,Spacing after Thinning: 12”,Light: full sun,Notes: Benefits from support.,100-120 Days,Callistephus chinensis,
COS-CH,COSMOS,,Chocolate,Chocolate scented! Deep garnet single & double,velvety blooms. Long stems. Tender perennial.,,Flower,Sow: 4-7 weeks before last frost  ,Transplant/direct sow after last frost ,Planting Depth: barely cover,Days to Germinate: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 12-18”,Light: full sun,Notes: Excellent cut flower!,75-90 Days,Cosmos astrosanguineus,
COS-XS,COSMOS,,Xsenia,Distinctive iridescent shimmer over ,dusty pink to raspberry blooms. ,,Flower,Sow: 4-7 weeks before last frost  ,Transplant/direct seed after last frost ,Planting Depth: barely cover,Days to Germ: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 12-18”,Light: full sun,Notes: Excellent cut flower! ,75-90 Days,Cosmos bipinnatus,
GRE-BC,CHRYSANTHEMUM/SHUNGIKU,,Broadleaf,Flavorful succulent leaves for salads or soup. ,Milder taste than more finely cut types.,,Greens,Sow: early spring-mid summer ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 60-70F,Spacing: 2-4” baby ~ 15-20” mature,Light: Full to part sun,Cut at 4-8” or let grow to 3+’. Edible flowers.,,30-40 Days,Tanacetum coccineum,
LAR-PB,CHINESE DELPHINIUM,,Pink Butterfly,"Compact, free-branching beauties covered in ",whisper pink delphinium type flowers. To 1.5’.,,Flower,Sow: early spring,Transplant 6-8 wk starts or direct seed,Planting depth: ⅛ - ¼” (needs dark to germ),Days to Germinate: 14-21 @ Soil Temp: 55F,Space after Thinning: 12”-18” (2-3’x2-3’ plant),Perennial. Light: full to part sun,Chill seed 1wk; does not germ well above 55,90-100 Days,Delphinium cardinale,
FMN-MR,CHINESE FORGET-ME-NOT,,Mystery Rose,Uncommon & elegant pale pink version of this ,"flower. Silvery foliage, tall habit, bee magnet.",,Flower,Sow: indoors up to 6-8 weeks before last frost,Transplant or direct seed after danger of frost,Planting depth: 1/4”,Days to Germinate: 6-10 @ Soil Temp: 65-70F,Spacing after Thinning: 9-12”,Light: full sun to part shade,Notes: Darkness required for germination,80-90 Days,Cynoglossum amabile,
MIX-BR,MIXED GREENS,UPRISING BRAISING MIX,Uprising Braising Mix,"Colorful mix of kales, bok choi, ","tat soi, chards, & ruby streaks. ",Enjoy from baby leaf to adult!,Brassicas,Sow: early/mid April-early Sept,Direct Seed,Planting Depth: 1/4”,Days to Germinate: 4-7 @ Soil Temp: 60-70F,"Spacing after Thinning: 2-4” baby, 4-8” mature",Light: full-part sun,Notes: Cut and come again mix.,25 (baby)-50 Days,,
DIA-SO,DIANTHUS,,Sooty,"Deep ruby/black w/pink stamens, subtle ","sweet smell, long flowering & vase life. ",,Flower,Sow: indoors 6-8 weeks before last frost,Transplant out early spring or late fall,Planting depth: lightly cover,Days to germinate: 14-21@ Soil Temp: 50-60F,Spacing after thinning: 6-9”,Light: full to part sun,Deadhead for more blooms. Cut back after frost.,Tender Perennial,Dianthus barbatus,
SAP-WB,SAPONARIA,,White Beauty,Airy & elegant white filler for bouquets. ,Long-lasting gorgeous simplicity!,,Flower,Sow: in flats 2 wks before last frost or ,direct seed every 2-3 wks in spring,Planting depth: cover lightly,Days to germinate: 7-10 @ Soil temp: 70F,Spacing after thinning: 4-9”,Light: full-part sun. Appreciates cool weather.,Notes: cut when 2-3 flowers are open,60 Days,Vaccaria hispanica,
SNA-RB,SNAPDRAGON,,Royal Bride,"3’ spires of sweetly fragrant, bright white ",blooms w/cream centers. Long blooming!,,Flower,Sow: surface sow 8-10 wks before last frost,Transplant after danger of frost,Planting Depth: Surface ,Days to Germinate: 7-14 @ Soil Temp: 70-75F,Spacing after Thinning: 9-12”,Light: full to part sun,Pinch back when 4-5” to encourage branching,95-110 Days,Antirrhinum spp.,
FOC-FM,FOUR O'CLOCKS,,Full Moon,Lively plants w/profuse white evening blooms ,that release their jasmine fragrance ‘til dawn!,,Flower,Sow: indoors 4-6 weeks before last frost date,Transplant (or direct sow) when soil temps are 65F,Planting Depth: ¼ ”,Days to Germinate: 7-10 @ Soil Temp:  65-75F,"Spacing after Thinning: 24”, 3’x3’ plant.  ",Light: full sun,Notes: Will self sow. Tubers may be dug for storage. ,75-85 Days,Mirabilis jalapa,
FOC-ST,FOUR O'CLOCKS,,Strega,Originally collected wild from Sicilian,"roadsides. Hot pinks, yellows, & salmons.",,Flower,Sow: indoors 4-6 weeks before last frost date,Transplant (or direct sow) when soil temps are 65F,Planting Depth: ¼ ”,Days to Germinate: 7-10 @ Soil Temp:  65-75F,"Spacing after Thinning: 24”, 3’x3’ plant.  ",Light: full sun,Notes: Will self sow. Tubers may be dug for storage. ,80 Days,Mirabilis jalapa,
FOC-FT,FOUR O'CLOCKS,,Fairy Trumpets,"Sprawling variety with 6-8"" long tube flowers.",Ambrosial evening scent of jasmine green tea.,,Flower,Sow: indoors 4-6 weeks before last frost date,Transplant (or direct sow) when soil temps are 65F,Planting Depth: ¼ ”,Days to Germinate: 7-10 @ Soil Temp:  65-75F,"Spacing after Thinning: 24”, 3’x3’ plant.  ",Light: full sun,Will self sow. Tubers may be dug for storage. ,85 Days,Mirabilis jalapa,
CEL-MO,CELERIAC,,Monarch,Softball sized roots w/flavor akin to a celery ,& parsley cross. Excellent storage and taste!,,Misc,"Sow: early March, 10-12 weeks before last frost",Planting Depth: 1/8” in open flats or plugs,Days to Germ: 2-3 weeks @ Soil Temp: 70-75F. ,Reduce temp to 60-70F after seedlings emerge,"Thin to: 6-8”, 2-3’ btw rows. Full sun.",Notes: consistent moisture for best flavor/yield. ,Harden off before transplanting to avoid bolting.,100-110 Days,Apium graveolens,
DID-LB,DIDISCUS,,Blue Lace Flower,"Graceful 3” umbels w/clusters of tiny, star-",like & fragrant lavender/blue flowers. 2-3’.,,Flower,Sow: indoors 4-6 weeks before last frost,Transplant out or direct seed after frost,Planting depth: cover lightly,Days to germinate: 14-21 @ Soil temp: 70-75F,Spacing after thinning: 12”,Light: full to part sun,Moist soil until established. Long lasting cut.,95 Days,Didiscus caeruleus,
MIG-AM,MIGNONETTE,,Ameliorata,Long blooming spires of cream flowers.,Exceptionally perfumed bee-magnets.,,Flower,Sow: indoors 4-6 wks before last frost,Transplant (preferred) 4 wk starts/direct seed,Planting Depth: 1/8”,Days to germinate: 7-14 @ Soil temp: 70F,Spacing after thinning: 9-12”,Light: full sun,Keep in full sun for most aromatic blooms,70 Days,Reseda odorata,
MON-LB,MONARDA,,Lemon Bergamot,Excellent pollinator attractor w/ whorls of ,deep violet blooms. Half-hardy 3’ annual.,,Herb,Sow: indoors 6-8 wks before last frost,Transplant: after last frost,Planting Depth: surface/barely cover,Days to Germ: 10-30 @ Soil Temp: 60-70F,Spacing after thinning: 18”,Light: full sun,Notes: deadhead to prolong blooming period,85 Days,Monarda hybrida,
SMA-BE,RADICCHIO,,Beatrice,(Variegato di Castelfranco type) Conical heads  ,"of burgundy flecked, blanched golden leaves.",,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Notes: Heads traditionally “opened” for market.,90 Days,Cichorium intybus,Variegato di Castelfranco
SMA-BB,CAULIFLOWER,,Broccolo di Bassano (Bonorivo),(B. oleracea) Small cream to light green heads ,with tight wrapper leaves. Delicious greens.,,Brassicas,Sow: late June,Transplant mid July,Planting Depth: ¼-1/2” ,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18-24”,Light: full to partial sun,Notes: heads in December in the PNW,130 Days,Brassica oleracea var. botrytis,
SMA-BT,CAULIFLOWER,,Broccolo di Bassano (Tardivo),(B. oleracea) Small cream to light green heads ,mature in March. Delicious tender leaves.,,Brassicas,Sow: late June,Transplant mid July,Planting Depth: ¼-1/2” ,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18-24”,Light: full to partial sun,Notes: heads in March in the PNW,200+ Days,Brassica oleracea var. botrytis,
SMA-DT,RADICCHIO,,Delta,(Variegato di Lusia type) Round heads of red ,"flecked, golden leaves. Very mildly bitter.",,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Notes: Medium fertility.,90 Days,Cichorium intybus,Variegato di Lusia
SMA-ET,RADICCHIO,,Etna,(Rosso di Chioggia type) Classic round  ,burgundy heads with diffuse white ribbing.,,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Notes: Medium fertility.,80 Days,Cichorium intybus,Rosso di Chioggia
SMA-FX,CHICORY,,Felix,(Catalogna Gigante di Chioggia type) Rosettes ,of green “dandelion” leaves w/thick midribs.,,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Notes: Medium fertility. Cut and bunch for market.,80 Days,Cichorium intybus,
SMA-LT,RADICCHIO,,Lentiggini,(Variegato di Castelfranco type) Conical heads  ,"of burgundy flecked, blanched golden leaves.",,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Notes: Heads traditionally “opened” for market.,110 Days,Cichorium intybus,Variegato di Castelfranco
